"Table 332.45. Percentage of graduate degree completers with student loan debt and average cumulative amount owed, by level of education funded and graduate degree type, institution control, and degree program: 
              Selected years, 1999-2000 through 2015-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graduate degree type, institution control, and degree program",Loans for graduate education only,,,,,,,,,,,,,,,Total loans (for undergraduate and graduate education),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999-2000,,,2003-04,,,2007-08,,,2011-12,,,2015-16,,,1999-2000,,,2003-04,,,2007-08,,,2011-12,,,2015-16,,,,,,,,,,,,,,,,,,,
1,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,,,,,,,,,,,,,,,,,
,Percent of graduate degree completers with student loan debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Total ,44.6,,(1.06),54.6,,(1.77),54.6,,(1.18),58.6,,(1.25),54.2,,(1.05),51.3,,(1.00),60.9,,(1.72),62.9,,(1.15),64.1,,(1.23),60.5,,(1.08),,,,,,,,,,,,,,,,,
"Graduate degree type and 
   institution control\1\",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Postbaccalaureate 
     certificate ",35.8,,(5.12),46.3,,(7.43),49.5,,(5.02),39.4,,(4.66),47.6,,(4.18),49.2,,(4.72),53.0,,(7.02),64.1,,(4.68),44.5,,(4.53),55.1,,(3.88),,,,,,,,,,,,,,,,,
    Public ,33.4,,(6.29),30.1,,(5.25),45.1,,(7.45),35.5,,(6.04),39.0,,(5.78),51.2,,(5.62),39.9,,(6.22),64.5,,(6.95),41.5,,(5.84),48.7,,(5.49),,,,,,,,,,,,,,,,,
    Private nonprofit ,32.8,,(9.10),70.3,,(9.55),54.7,,(6.47),48.0,,(7.97),53.5,,(5.99),40.4,,(9.55),73.1,,(9.13),63.8,,(5.82),50.5,,(8.06),57.8,,(6.03),,,,,,,,,,,,,,,,,
    Private for-profit ,‡,,(†),‡,,(†),‡,,(†),‡,,(†),72.5,,(4.88),‡,,(†),‡,,(†),‡,,(†),‡,,(†),78.1,,(3.99),,,,,,,,,,,,,,,,,
  Master's ,39.9,,(1.30),52.0,,(2.10),53.8,,(1.47),59.0,,(1.50),52.8,,(1.23),47.2,,(1.19),59.4,,(2.03),62.7,,(1.45),65.2,,(1.48),60.0,,(1.28),,,,,,,,,,,,,,,,,
    Public ,35.6,,(1.53),41.6,,(2.20),48.4,,(1.79),53.0,,(2.19),49.1,,(1.87),43.7,,(1.57),50.0,,(2.28),59.1,,(1.87),62.1,,(2.14),57.3,,(2.04),,,,,,,,,,,,,,,,,
    Private nonprofit ,44.1,,(2.65),60.8,,(3.13),55.2,,(1.69),60.8,,(2.29),53.0,,(1.82),50.9,,(2.46),67.6,,(2.85),63.3,,(1.84),64.6,,(2.38),59.8,,(1.74),,,,,,,,,,,,,,,,,
    Private for-profit ,60.4,,(11.61),76.7,,(10.88),80.3,,(6.41),74.9,,(4.97),67.5,,(3.18),61.6,,(10.98),77.2,,(10.76),83.5,,(6.34),78.6,,(4.86),71.3,,(2.74),,,,,,,,,,,,,,,,,
"  Doctor's, research ",38.8,,(2.92),45.3,,(2.14),43.1,,(2.54),40.7,,(2.33),43.6,,(3.45),43.6,,(3.04),50.5,,(2.28),49.3,,(2.77),47.5,,(2.44),48.2,,(3.51),,,,,,,,,,,,,,,,,
    Public ,34.6,,(3.35),39.6,,(2.52),38.5,,(3.12),35.3,,(2.73),32.7,,(3.96),39.5,,(3.52),45.7,,(2.82),45.0,,(3.73),42.1,,(3.04),36.7,,(4.16),,,,,,,,,,,,,,,,,
    Private nonprofit ,46.0,,(6.55),54.5,,(4.19),51.2,,(3.39),39.9,,(3.38),46.8,,(6.14),50.9,,(6.29),58.3,,(4.13),57.2,,(3.22),48.7,,(3.30),54.2,,(6.01),,,,,,,,,,,,,,,,,
    Private for-profit ,‡,,(†),‡,,(†),‡,,(†),95.1,,(3.45),75.8,,(6.27),‡,,(†),‡,,(†),‡,,(†),95.1,,(3.45),76.2,,(6.26),,,,,,,,,,,,,,,,,
"  Doctor's, professional\2\ ",79.4,,(2.82),84.8,,(2.39),83.8,,(2.09),84.6,,(1.60),73.5,,(2.43),81.2,,(2.77),84.8,,(2.39),84.9,,(1.97),84.9,,(1.65),74.5,,(2.39),,,,,,,,,,,,,,,,,
    Public ,83.6,,(4.65),87.2,,(2.82),82.8,,(3.61),85.9,,(2.72),74.1,,(4.18),84.7,,(4.59),87.2,,(2.82),84.3,,(3.28),85.9,,(2.72),75.9,,(4.07),,,,,,,,,,,,,,,,,
    Private nonprofit ,76.7,,(4.06),82.8,,(4.21),84.5,,(2.42),84.2,,(2.25),71.3,,(3.40),79.0,,(3.95),82.8,,(4.21),85.4,,(2.34),84.7,,(2.31),71.9,,(3.42),,,,,,,,,,,,,,,,,
    Private for-profit ,‡,,(†),‡,,(†),‡,,(†),94.1,,(5.12),89.5,,(1.95),‡,,(†),‡,,(†),‡,,(†),94.1,,(5.12),90.2,,(1.82),,,,,,,,,,,,,,,,,
Graduate degree program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Postbaccalaureate 
     certificate ",35.8,,(5.12),46.3,,(7.43),49.5,,(5.02),39.4,,(4.66),47.6,,(4.18),49.2,,(4.72),53.0,,(7.02),64.1,,(4.68),44.5,,(4.53),55.1,,(3.88),,,,,,,,,,,,,,,,,
"  Master of business 
     administration (M.B.A.) ",35.7,,(2.70),49.2,,(5.05),54.2,,(3.45),49.4,,(4.63),43.8,,(3.41),41.0,,(2.78),54.8,,(4.67),60.6,,(3.29),57.0,,(4.78),51.0,,(3.34),,,,,,,,,,,,,,,,,
  Master of education (any) ,35.7,,(2.86),49.1,,(3.14),55.5,,(3.46),59.7,,(3.55),51.2,,(2.83),45.6,,(2.86),60.2,,(3.24),68.4,,(3.13),67.3,,(3.64),61.9,,(3.21),,,,,,,,,,,,,,,,,
"  Other master of arts (M.A.)    
     except in education",46.8,,(4.97),57.7,,(5.07),60.4,,(4.04),62.1,,(3.53),51.9,,(4.81),55.6,,(5.09),62.6,,(5.04),66.6,,(3.76),69.5,,(3.50),58.5,,(4.42),,,,,,,,,,,,,,,,,
"  Other master of science (M.S.) 
     except in education",35.9,,(2.89),40.0,,(3.85),45.8,,(2.88),53.6,,(2.47),49.5,,(2.42),41.9,,(2.58),47.1,,(4.12),53.9,,(2.83),59.3,,(2.56),56.1,,(2.33),,,,,,,,,,,,,,,,,
