"Table 502.30. Median annual earnings of full-time year-round workers 25 to 34 years old and full-time year-round workers as a percentage of the labor force, by sex, race/ethnicity, and educational attainment: Selected
              years, 1995 through 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Amounts in constant 2019 dollars. Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sex, race/ethnicity, and educational attainment",1995,,,2000,,,2005,,,2010,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,
1,2,,,3,,,4,,5,5,,9,6,,9,7,,12,8,,12,9,,12,10,,12,11,,12,12,,12
"Total, all full-time year-round 
   workers 25 to 34 years old",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Median annual earnings, all
   education levels ","$41,940",,(269),"$44,540",,(158),"$43,170",,"(1,202)","$43,410",,(969),"$43,900",,(#),"$43,200",,(91),"$43,080",,(24),"$42,610",,(330),"$43,720",,(110),"$45,690",,"(1,144)","$46,730",,"(1,162)"
  Less than high school completion ,"26,500 ",,(497),"26,940 ",,(671),"26,920 ",,(778),"24,600 ",,(891),"26,310 ",,(463),"25,910 ",,"(1,307)","26,950 ",,(75),"27,010 ",,(762),"27,100 ",,"(1,429)","28,380 ",,"(1,388)","29,340 ",,(357)
  High school completion\1\ ,"34,740 ",,(384),"37,110 ",,(292),"36,430 ",,"(1,004)","35,120 ",,(19),"32,920 ",,(2),"32,400 ",,(4),"32,950 ",,"(1,031)","33,910 ",,(152),"33,370 ",,(314),"35,510 ",,(51),"34,970 ",,(25)
"  Some college, no degree ","39,540 ",,(848),"42,840 ",,(623),"41,190 ",,(817),"38,500 ",,"(1,089)","38,150 ",,"(1,118)","34,450 ",,(968),"37,360 ",,(96),"37,170 ",,"(1,086)","36,510 ",,(939),"36,960 ",,"(1,064)","39,720 ",,"(1,000)"
  Associate's degree ,"41,680 ",,(807),"44,530 ",,(463),"45,790 ",,"(1,574)","43,300 ",,"(1,167)","41,020 ",,"(2,036)","37,770 ",,(566),"39,850 ",,"(1,195)","40,470 ",,"(1,081)","40,520 ",,"(1,660)","40,690 ",,(113),"39,990 ",,(798)
  Bachelor's or higher degree ,"55,320 ",,"(1,123)","59,380 ",,(345),"57,530 ",,"(1,139)","57,380 ",,"(1,196)","54,870 ",,"(1,196)","56,140 ",,(929),"58,070 ",,"(1,502)","58,340 ",,(91),"57,350 ",,"(1,014)","58,970 ",,(578),"59,680 ",,(113)
    Bachelor's degree ,"51,920 ",,(498),"59,270 ",,(395),"52,770 ",,"(1,169)","52,760 ",,(875),"53,150 ",,"(1,932)","53,870 ",,(47),"53,930 ",,(#),"53,250 ",,(270),"54,000 ",,"(1,752)","55,700 ",,(150),"55,740 ",,"(1,154)"
    Master's or higher degree ,"66,490 ",,"(1,284)","71,270 ",,"(3,095)","65,400 ",,(536),"64,240 ",,"(1,489)","65,610 ",,(354),"63,820 ",,"(1,126)","64,720 ",,"(2,062)","68,250 ",,"(1,387)","67,790 ",,"(3,175)","66,150 ",,(531),"69,980 ",,"(1,734)"
"Percent,\2\ all education levels ",67.5,,(0.44),72.1,,(0.31),70.8,,(0.36),64.8,,(0.42),67.8,,(0.50),70.2,,(0.39),71.0,,(0.42),72.7,,(0.42),73.3,,(0.40),74.4,,(0.40),74.5,,(0.39)
  Less than high school completion ,53.3,,(1.40),61.8,,(1.00),64.1,,(1.29),48.1,,(1.44),55.9,,(1.65),59.1,,(1.43),58.6,,(1.76),60.1,,(1.49),63.8,,(1.59),61.5,,(1.78),65.0,,(2.09)
  High school completion\1\ ,66.8,,(0.78),71.5,,(0.57),71.3,,(0.71),60.0,,(0.79),64.5,,(1.09),68.4,,(0.80),68.6,,(0.83),68.9,,(0.83),71.1,,(0.75),72.2,,(0.86),71.8,,(0.86)
"  Some college, no degree ",65.5,,(0.99),71.8,,(0.69),67.3,,(0.82),60.9,,(0.89),61.9,,(1.12),64.6,,(0.82),67.0,,(0.99),69.5,,(0.95),68.8,,(1.02),70.6,,(0.92),69.4,,(0.99)
  Associate's degree ,71.9,,(1.39),74.5,,(0.97),71.8,,(1.09),65.9,,(1.25),70.2,,(1.47),69.2,,(1.16),68.5,,(1.16),72.3,,(1.12),73.2,,(1.08),73.5,,(1.14),73.5,,(1.05)
  Bachelor's or higher degree ,73.9,,(0.77),75.7,,(0.53),74.4,,(0.67),74.3,,(0.60),74.8,,(0.69),76.3,,(0.62),77.2,,(0.59),78.8,,(0.59),77.8,,(0.56),79.2,,(0.56),79.2,,(0.58)
    Bachelor's degree ,74.0,,(0.88),76.5,,(0.59),75.3,,(0.76),74.4,,(0.70),75.1,,(0.83),76.4,,(0.68),77.7,,(0.72),78.9,,(0.66),78.1,,(0.66),79.6,,(0.66),78.9,,(0.73)
