Demographic,Year,Earnings,Graduation Rate,,"Disclaimer: Earnings are an average taken from the earnings recorded among those in the demographic category with an associate's degree, bachelor's degree or higher"
Male,1995/96,55280,28.5,,Disclaimer: Graduation rates for racial/ethinic categories are an average taken from the graduation rates recorded among males and females in the respective category
Female,1995/96,45037,38,,
White,1995/96,51437,12,,
Black,1995/96,41933,50,,
Hispanic,1995/96,45597,42,,
Asian,1995/96,45793,34,,
Mixed,1995/96,NA,13,,
Pacific Islander,1995/96,NA,24,,
American Indian/Alaska Native,1995/96,33360,18,,
Male,2000,62633,,,
Female,2000,47947,,,
White,2000,55653,,,
Black,2000,46343,,,
Hispanic,2000,50610,,,
Asian,2000,60733,,,
Mixed,2000,NA,,,
Pacific Islander,2000,NA,,,
American Indian/Alaska Native,2000,37100,,,
Male,2005,,,,
Female,2005,,,,
White,2005,,,,
Black,2005,,,,
Hispanic,2005,,,,
Asian,2005,,,,
Mixed,2005,,,,
Pacific Islander,2005,,,,
American Indian/Alaska Native,2005,,,,
Male,2010,,,,
Female,,,,,
White,,,,,
Black,,,,,
Hispanic,,,,,
Asian,,,,,
Mixed,,,,,
Pacific Islander,,,,,
American Indian/Alaska Native,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
