"Table 326.10. Graduation rate from first institution attended for first-time, full-time bachelor's degree-seeking 
              students at 4-year postsecondary institutions, by race/ethnicity, time to completion, sex, control of 
              institution, and percentage of applications accepted: Selected cohort entry years, 1996 through 2013",,,,,,,,,,
"Time to completion, sex, control of institution, cohort entry year, and percentage of applications accepted",Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non-resident alien\1\
,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11
"Graduating within 4 years after 
   entry, males and females",,,,,,,,,,
All 4-year institutions,,,,,,,,,,
1996 entry cohort,33.7,36.3,19.5,22.8,37.5,---,---,18.8,---,41.7
2000 entry cohort,36.1,38.9,21.2,25.8,40.9,---,---,21.0,---,41.9
2002 entry cohort,36.6,39.6,20.5,26.6,43.0,---,---,20.6,---,39.1
2003 entry cohort,37.0,40.2,20.2,26.7,43.9,---,---,20.6,---,39.4
2004 entry cohort,38.0,41.3,20.5,27.9,45.0,---,---,21.8,---,43.7
2005 entry cohort,38.3,41.8,20.2,28.2,45.1,45.5,22.2,21.8,44.1,44.0
2006 entry cohort,39.1,42.7,20.6,29.3,46.0,46.4,24.2,21.9,46.6,44.1
2007 entry cohort,39.4,43.3,20.8,29.8,46.2,46.7,25.9,23.0,49.1,44.6
2008 entry cohort,39.8,43.7,21.4,30.4,47.1,47.7,26.7,23.0,46.5,46.4
2009 entry cohort,39.9,44.2,20.6,30.7,48.8,49.5,26.7,24.0,41.0,49.1
2010 entry cohort,40.7,45.4,21.2,31.7,49.6,50.2,31.0,22.7,39.6,50.1
2011 entry cohort,41.6,46.4,21.6,32.5,50.1,50.7,31.0,21.6,38.3,50.8
2012 entry cohort,43.7,48.3,23.8,34.1,52.0,52.6,31.6,24.5,39.3,51.9
2013 entry cohort,45.3,49.8,25.7,35.7,53.5,54.0,33.8,26.2,40.9,52.7
  Public institutions,,,,,,,,,,
  1996 entry cohort,26.0,28.3,15.0,15.8,28.5,---,---,14.5,---,30.9
  2000 entry cohort,29.0,31.4,17.9,18.9,33.7,---,---,16.5,---,32.7
  2002 entry cohort,29.9,32.4,17.0,20.2,35.8,---,---,16.1,---,33.5
  2003 entry cohort,30.7,33.5,16.5,20.7,37.5,---,---,17.0,---,33.8
  2004 entry cohort,31.4,34.2,16.4,21.5,38.0,---,---,17.2,---,34.4
  2005 entry cohort,32.0,35.1,16.8,22.4,38.7,39.1,16.9,17.9,28.7,33.5
  2006 entry cohort,32.9,36.1,17.2,23.1,40.0,40.4,18.6,17.9,30.5,33.9
  2007 entry cohort,33.5,36.9,17.4,24.0,39.8,40.2,21.3,19.5,35.9,34.4
  2008 entry cohort,34.4,37.9,18.6,24.8,41.1,41.6,22.1,19.1,35.2,38.0
  2009 entry cohort,34.9,38.5,18.1,25.5,42.9,43.5,23.7,19.8,31.9,41.3
  2010 entry cohort,35.8,39.7,18.5,26.4,43.5,44.0,28.6,17.9,32.6,43.5
  2011 entry cohort,36.9,41.2,18.9,27.3,44.6,44.9,31.1,18.7,32.8,45.0
  2012 entry cohort,38.8,43.2,20.6,28.9,46.5,46.9,31.0,20.4,34.1,46.8
  2013 entry cohort,40.7,45.1,22.7,30.7,48.3,48.7,31.7,22.7,35.9,47.6
  Nonprofit institutions,,,,,,,,,,
  1996 entry cohort,48.6,51.3,29.3,39.9,57.9,---,---,33.7,---,50.4
  2000 entry cohort,50.3,53.5,28.2,42.9,58.8,---,---,36.0,---,50.3
  2002 entry cohort,51.5,54.5,29.3,44.4,61.9,---,---,36.9,---,55.4
  2003 entry cohort,51.6,54.7,29.8,44.0,61.5,---,---,34.4,---,55.3
  2004 entry cohort,52.6,55.5,30.6,46.2,62.8,---,---,39.0,---,57.4
  2005 entry cohort,52.2,55.4,29.2,45.1,62.3,62.8,34.9,35.2,59.9,57.4
  2006 entry cohort,52.9,56.2,29.7,47.4,62.8,63.5,37.2,38.3,62.1,56.8
  2007 entry cohort,52.9,56.5,29.6,46.8,63.6,64.3,40.4,37.0,62.6,56.9
  2008 entry cohort,52.8,56.4,29.7,47.2,63.4,63.9,44.8,37.0,59.3,57.2
  2009 entry cohort,53.1,57.1,29.1,47.2,64.4,65.1,41.5,39.6,56.8,59.4
  2010 entry cohort,53.6,58.0,29.2,48.2,64.9,65.7,40.0,37.7,55.8,58.9
  2011 entry cohort,54.4,58.5,30.5,49.9,65.3,66.0,39.1,34.0,54.0,59.0
  2012 entry cohort,55.3,59.4,32.0,50.1,66.7,67.6,37.5,37.9,53.4,59.1
