Degree level completed,demographic,Year,Earnings
"Median annual earnings, all
   education levels",Total,1995,"$41,940"
"Median annual earnings, all
   education levels",Total,2000,"$44,540"
"Median annual earnings, all
   education levels",Total,2005,"$43,170"
"Median annual earnings, all
   education levels",Total,2010,"$43,410"
"Median annual earnings, all
   education levels",Total,2013,"$43,900"
"Median annual earnings, all
   education levels",Total,2014,"$43,200"
"Median annual earnings, all
   education levels",Total,2015,"$43,080"
"Median annual earnings, all
   education levels",Total,2016,"$42,610"
"Median annual earnings, all
   education levels",Total,2017,"$43,720"
"Median annual earnings, all
   education levels",Total,2018,"$45,690"
"Median annual earnings, all
   education levels",Total,2019,"$46,730"
Less than high school completion,Total,1995,"26,500"
Less than high school completion,Total,2000,"26,940"
Less than high school completion,Total,2005,"26,920"
Less than high school completion,Total,2010,"24,600"
Less than high school completion,Total,2013,"26,310"
Less than high school completion,Total,2014,"25,910"
Less than high school completion,Total,2015,"26,950"
Less than high school completion,Total,2016,"27,010"
Less than high school completion,Total,2017,"27,100"
Less than high school completion,Total,2018,"28,380"
Less than high school completion,Total,2019,"29,340"
High school completion\1\,Total,1995,"34,740"
High school completion\1\,Total,2000,"37,110"
High school completion\1\,Total,2005,"36,430"
High school completion\1\,Total,2010,"35,120"
High school completion\1\,Total,2013,"32,920"
High school completion\1\,Total,2014,"32,400"
High school completion\1\,Total,2015,"32,950"
High school completion\1\,Total,2016,"33,910"
High school completion\1\,Total,2017,"33,370"
High school completion\1\,Total,2018,"35,510"
High school completion\1\,Total,2019,"34,970"
"Some college, no degree",Total,1995,"39,540"
"Some college, no degree",Total,2000,"42,840"
"Some college, no degree",Total,2005,"41,190"
"Some college, no degree",Total,2010,"38,500"
"Some college, no degree",Total,2013,"38,150"
"Some college, no degree",Total,2014,"34,450"
"Some college, no degree",Total,2015,"37,360"
"Some college, no degree",Total,2016,"37,170"
"Some college, no degree",Total,2017,"36,510"
"Some college, no degree",Total,2018,"36,960"
"Some college, no degree",Total,2019,"39,720"
Associate's degree,Total,1995,"41,680"
Associate's degree,Total,2000,"44,530"
Associate's degree,Total,2005,"45,790"
Associate's degree,Total,2010,"43,300"
Associate's degree,Total,2013,"41,020"
