"","state","total_enrolled","women_enrollment_perc","minority_enrollment_perc","native_american_enrollment_perc","asian_enrollment_perc","black_enrollment_perc","hispanic_enrollment_perc","pac_island_enroll_perc","white_enrollment_perc","two_more_races_enroll_perc","nonresident_enroll_perc","tuition_4yr_public","tuition_4yr_private","tuition_2yr_public","state_funds","change_in_state_funds","need_based_grants","non_need_based_grants","non_grant_aid","total_aid","all_grad_rates","men_grad_rates","women_grad_rates","native_american_grad_rates","asian_grad_rates","black_grad_rates","hispanic_grad_rates","white_grad_rates","two_more_races_grad_rates","public_doctor_prof_avg_salary","public_doctor_assoc_avg_salary","public_doctor_assist_avg_salary","public_doctor_all_avg_salary","public_masters_prof_avg_salary","public_masters_assoc_avg_salary","public_masters_assist_avg_salary","public_masters_all_avg_salary","other_4yr_avg_salary","other_2yr_avg_salary"
"1","Alabama","303,030",57.7,33.2,0.6,1.9,24,3.9,0.1,59.5,2.6,3,10227,22694,4841,1818933163,2.3,72423000,7729000,166000,80318000,56.5,51.8,60.2,57.1,71.8,37.2,55,65,51.3,148654,101761,84199,99488,90658,74366,65302,70748,79223,58305
"2","Alaska","23,353",61.3,36.9,9.4,4.9,2.8,7.8,2.1,51.3,10,2,8301,19871,NA,293953833,-10.1,5850000,10157000,11267000,27274000,37.1,35.1,38.7,20.7,28.2,27.6,25,42.5,31.9,107011,87589,70223,79897,102191,86511,68876,78617,91285,NA
"3","Arizona","609,144",61.4,44.5,2.1,3.8,10.5,24,0.4,43.9,3.8,2.9,10914,23090,2152,958019800,-4.5,28227000,0,412000,28639000,47.1,46.5,47.6,28.1,67.1,21.7,46.5,51.7,47.5,142664,101691,83917,97480,148008,97006,77812,85231,59877,73134
"4","Arkansas","158,587",59.2,29.2,0.7,1.9,15.3,7.2,0.1,66.6,4,3,8701,23498,3389,992064504,-2.8,1951000,111729000,1818000,115498000,52.3,47.6,56.1,50.3,62.2,30.7,51.7,57.2,45.3,118095,83833,72002,80803,81383,68251,57743,62112,80677,49222
"5","California","2,718,969",55.6,64.9,0.3,14.1,5.7,40,0.4,24.8,4.3,5.4,7595,40580,1267,15036459819,-7.9,2226968000,2422000,2335000,2231726000,70.3,67.7,72.2,56.6,80.2,49,63.4,73.8,70.5,196438,127430,106599,145404,115675,100780,86977,96030,116631,93970
"6","Colorado","372,427",56.6,33.1,0.9,3.6,6.3,17.6,0.3,56.5,4.4,3.1,8591,39470,3334,605253174,-45.3,142573000,6179000,37019000,185770000,59.2,56.4,62,33.5,69.1,42.4,48.9,62.3,56.1,138149,102225,90608,100440,92163,73511,64437,70067,76191,58659
"7","Connecticut","193,686",58.5,37.6,0.2,5.6,12.3,15.7,0.1,52.3,3.7,5.8,13839,45362,4516,1213567145,5.7,33628000,185000,114866000,148678000,70.9,68.6,72.8,51.9,80.4,52,64,74,70.9,160153,108742,90146,118606,108675,86777,73289,92413,NA,82261
"8","Delaware","59,983",61.8,37.3,0.3,3.6,20.2,9.4,0.1,52.3,3.7,7,10451,13634,NA,252761600,2.3,14107000,9683000,434000,24224000,67.8,63.3,71,33.3,83.3,43.2,63.1,77.6,58.2,156496,107952,93512,115512,NA,NA,NA,NA,76939,NA
"9","District of Columbia","98,909",61.4,42.4,0.3,6.6,22.5,9.4,0.2,39.7,3.4,11.7,5862,47646,NA,90303335,0,832000,31575000,0,32407000,77,76.8,77.1,45.5,85.1,62.1,74.3,83.7,76.6,NA,NA,NA,NA,107683,76113,64810,78219,141237,NA
"10","Florida","1,066,783",58.9,51.1,0.3,3.6,16.5,27.3,0.2,40.2,3.3,4.3,4322,29453,2506,5666721679,3.8,293267000,572058000,144493000,1009818000,63.4,57.5,68.5,47,77,48.5,64.2,67.1,58.9,146465,101356,88724,102312,116557,88397,76843,82593,63527,62080
