"","state","aid_type","amount"
"1","Alabama","Need-Based Grants",72423000
"2","Alabama","Non-Need-Based Grants",7729000
"3","Alabama","Non-Grant Aid",166000
"4","Alabama","Total Aid",80318000
"5","Alaska","Need-Based Grants",5850000
"6","Alaska","Non-Need-Based Grants",10157000
"7","Alaska","Non-Grant Aid",11267000
"8","Alaska","Total Aid",27274000
"9","Arizona","Need-Based Grants",28227000
"10","Arizona","Non-Need-Based Grants",0
"11","Arizona","Non-Grant Aid",412000
"12","Arizona","Total Aid",28639000
"13","Arkansas","Need-Based Grants",1951000
"14","Arkansas","Non-Need-Based Grants",111729000
"15","Arkansas","Non-Grant Aid",1818000
"16","Arkansas","Total Aid",115498000
"17","California","Need-Based Grants",2226968000
"18","California","Non-Need-Based Grants",2422000
"19","California","Non-Grant Aid",2335000
"20","California","Total Aid",2231726000
"21","Colorado","Need-Based Grants",142573000
"22","Colorado","Non-Need-Based Grants",6179000
"23","Colorado","Non-Grant Aid",37019000
"24","Colorado","Total Aid",185770000
"25","Connecticut","Need-Based Grants",33628000
"26","Connecticut","Non-Need-Based Grants",185000
"27","Connecticut","Non-Grant Aid",114866000
"28","Connecticut","Total Aid",148678000
"29","Delaware","Need-Based Grants",14107000
"30","Delaware","Non-Need-Based Grants",9683000
"31","Delaware","Non-Grant Aid",434000
"32","Delaware","Total Aid",24224000
"33","District of Columbia","Need-Based Grants",832000
"34","District of Columbia","Non-Need-Based Grants",31575000
"35","District of Columbia","Non-Grant Aid",0
"36","District of Columbia","Total Aid",32407000
"37","Florida","Need-Based Grants",293267000
"38","Florida","Non-Need-Based Grants",572058000
"39","Florida","Non-Grant Aid",144493000
"40","Florida","Total Aid",1009818000
"41","Georgia","Need-Based Grants",0
"42","Georgia","Non-Need-Based Grants",855762000
"43","Georgia","Non-Grant Aid",32680000
"44","Georgia","Total Aid",888442000
"45","Hawaii","Need-Based Grants",4635000
"46","Hawaii","Non-Need-Based Grants",0
"47","Hawaii","Non-Grant Aid",1013000
"48","Hawaii","Total Aid",5648000
"49","Idaho","Need-Based Grants",14019000
