years_completed,Year,Grad_Rate,Demographic,grad_rates_num,year_num,demo_color
4 years,1996,30.6,White Men,30.6,1996,1
4 years,2000,33.4,White Men,33.4,2000,1
4 years,2002,33.9,White Men,33.9,2002,1
4 years,2003,34.8,White Men,34.8,2003,1
4 years,2004,35.7,White Men,35.7,2004,1
4 years,2005,36.4,White Men,36.4,2005,1
4 years,2006,37.2,White Men,37.2,2006,1
4 years,2007,37.7,White Men,37.7,2007,1
4 years,2008,38.1,White Men,38.1,2008,1
4 years,2009,38.2,White Men,38.2,2009,1
4 years,2010,39.6,White Men,39.6,2010,1
4 years,2011,40.7,White Men,40.7,2011,1
4 years,2012,42.2,White Men,42.2,2012,1
4 years,2013,43.7,White Men,43.7,2013,1
4 years,1996,13.9,Black Men,13.9,1996,2
4 years,2000,15.3,Black Men,15.3,2000,2
4 years,2002,14.8,Black Men,14.8,2002,2
4 years,2003,14.7,Black Men,14.7,2003,2
4 years,2004,15.1,Black Men,15.1,2004,2
4 years,2005,15.0,Black Men,15,2005,2
4 years,2006,15.7,Black Men,15.7,2006,2
4 years,2007,15.6,Black Men,15.6,2007,2
4 years,2008,16.2,Black Men,16.2,2008,2
4 years,2009,16.0,Black Men,16,2009,2
4 years,2010,16.5,Black Men,16.5,2010,2
4 years,2011,16.5,Black Men,16.5,2011,2
4 years,2012,18.1,Black Men,18.1,2012,2
4 years,2013,19.8,Black Men,19.8,2013,2
4 years,1996,19.0,Hispanic Men,19,1996,3
4 years,2000,21.7,Hispanic Men,21.7,2000,3
4 years,2002,21.9,Hispanic Men,21.9,2002,3
4 years,2003,22.5,Hispanic Men,22.5,2003,3
4 years,2004,23.3,Hispanic Men,23.3,2004,3
4 years,2005,24.2,Hispanic Men,24.2,2005,3
4 years,2006,24.9,Hispanic Men,24.9,2006,3
4 years,2007,25.5,Hispanic Men,25.5,2007,3
4 years,2008,25.7,Hispanic Men,25.7,2008,3
4 years,2009,25.7,Hispanic Men,25.7,2009,3
4 years,2010,26.8,Hispanic Men,26.8,2010,3
4 years,2011,27.6,Hispanic Men,27.6,2011,3
4 years,2012,28.6,Hispanic Men,28.6,2012,3
4 years,2013,30.2,Hispanic Men,30.2,2013,3
4 years,1996,---,Asian Men,NA,1996,4
4 years,2000,---,Asian Men,NA,2000,4
4 years,2002,---,Asian Men,NA,2002,4
4 years,2003,---,Asian Men,NA,2003,4
4 years,2004,---,Asian Men,NA,2004,4
4 years,2005,40.2,Asian Men,40.2,2005,4
4 years,2006,41.6,Asian Men,41.6,2006,4
4 years,2007,41.5,Asian Men,41.5,2007,4
4 years,2008,42.5,Asian Men,42.5,2008,4
4 years,2009,44.4,Asian Men,44.4,2009,4
4 years,2010,44.9,Asian Men,44.9,2010,4
4 years,2011,45.3,Asian Men,45.3,2011,4
4 years,2012,47.4,Asian Men,47.4,2012,4
4 years,2013,48.4,Asian Men,48.4,2013,4
4 years,1996,41.1,White Women,41.1,1996,5
4 years,2000,43.4,White Women,43.4,2000,5
4 years,2002,44.2,White Women,44.2,2002,5
4 years,2003,44.8,White Women,44.8,2003,5
4 years,2004,45.9,White Women,45.9,2004,5
4 years,2005,46.4,White Women,46.4,2005,5
4 years,2006,47.4,White Women,47.4,2006,5
4 years,2007,48.1,White Women,48.1,2007,5
4 years,2008,48.6,White Women,48.6,2008,5
4 years,2009,49.4,White Women,49.4,2009,5
4 years,2010,50.5,White Women,50.5,2010,5
4 years,2011,51.3,White Women,51.3,2011,5
4 years,2012,53.5,White Women,53.5,2012,5
4 years,2013,55.0,White Women,55,2013,5
4 years,1996,23.2,Black Women,23.2,1996,6
4 years,2000,25.1,Black Women,25.1,2000,6
4 years,2002,24.4,Black Women,24.4,2002,6
4 years,2003,23.9,Black Women,23.9,2003,6
4 years,2004,24.2,Black Women,24.2,2004,6
4 years,2005,23.7,Black Women,23.7,2005,6
4 years,2006,23.9,Black Women,23.9,2006,6
4 years,2007,24.3,Black Women,24.3,2007,6
4 years,2008,24.9,Black Women,24.9,2008,6
4 years,2009,23.9,Black Women,23.9,2009,6
4 years,2010,24.8,Black Women,24.8,2010,6
4 years,2011,25.2,Black Women,25.2,2011,6
4 years,2012,28.0,Black Women,28,2012,6
4 years,2013,30.0,Black Women,30,2013,6
4 years,1996,25.8,Hispanic Women,25.8,1996,7
4 years,2000,28.9,Hispanic Women,28.9,2000,7
4 years,2002,30.1,Hispanic Women,30.1,2002,7
4 years,2003,29.8,Hispanic Women,29.8,2003,7
4 years,2004,31.4,Hispanic Women,31.4,2004,7
4 years,2005,31.3,Hispanic Women,31.3,2005,7
4 years,2006,32.5,Hispanic Women,32.5,2006,7
4 years,2007,33.1,Hispanic Women,33.1,2007,7
4 years,2008,33.9,Hispanic Women,33.9,2008,7
4 years,2009,34.4,Hispanic Women,34.4,2009,7
4 years,2010,35.5,Hispanic Women,35.5,2010,7
4 years,2011,36.1,Hispanic Women,36.1,2011,7
4 years,2012,38.3,Hispanic Women,38.3,2012,7
4 years,2013,39.8,Hispanic Women,39.8,2013,7
4 years,1996,---,Asian Women,NA,1996,8
4 years,2000,---,Asian Women,NA,2000,8
4 years,2002,---,Asian Women,NA,2002,8
4 years,2003,---,Asian Women,NA,2003,8
4 years,2004,---,Asian Women,NA,2004,8
4 years,2005,50.1,Asian Women,50.1,2005,8
4 years,2006,50.8,Asian Women,50.8,2006,8
4 years,2007,51.3,Asian Women,51.3,2007,8
4 years,2008,52.4,Asian Women,52.4,2008,8
4 years,2009,54.1,Asian Women,54.1,2009,8
4 years,2010,54.9,Asian Women,54.9,2010,8
4 years,2011,55.5,Asian Women,55.5,2011,8
4 years,2012,57.5,Asian Women,57.5,2012,8
4 years,2013,59.0,Asian Women,59,2013,8
5 years,1996,49.2,White Men,49.2,1996,1
5 years,2000,52.0,White Men,52,2000,1
5 years,2002,52.4,White Men,52.4,2002,1
5 years,2003,53.5,White Men,53.5,2003,1
5 years,2004,54.2,White Men,54.2,2004,1
5 years,2005,54.7,White Men,54.7,2005,1
5 years,2006,55.2,White Men,55.2,2006,1
5 years,2007,55.5,White Men,55.5,2007,1
5 years,2008,55.6,White Men,55.6,2008,1
5 years,2009,55.8,White Men,55.8,2009,1
5 years,2010,56.7,White Men,56.7,2010,1
5 years,2011,57.5,White Men,57.5,2011,1
5 years,2012,59.0,White Men,59,2012,1
5 years,2013,60.0,White Men,60,2013,1
5 years,1996,27.0,Black Men,27,1996,2
5 years,2000,29.8,Black Men,29.8,2000,2
5 years,2002,28.3,Black Men,28.3,2002,2
5 years,2003,28.5,Black Men,28.5,2003,2
5 years,2004,28.8,Black Men,28.8,2004,2
5 years,2005,28.8,Black Men,28.8,2005,2
5 years,2006,29.8,Black Men,29.8,2006,2
5 years,2007,29.8,Black Men,29.8,2007,2
5 years,2008,30.1,Black Men,30.1,2008,2
5 years,2009,29.1,Black Men,29.1,2009,2
5 years,2010,29.3,Black Men,29.3,2010,2
5 years,2011,29.8,Black Men,29.8,2011,2
5 years,2012,31.6,Black Men,31.6,2012,2
5 years,2013,33.7,Black Men,33.7,2013,2
5 years,1996,34.4,Hispanic Men,34.4,1996,3
5 years,2000,37.8,Hispanic Men,37.8,2000,3
5 years,2002,37.7,Hispanic Men,37.7,2002,3
5 years,2003,38.6,Hispanic Men,38.6,2003,3
5 years,2004,39.3,Hispanic Men,39.3,2004,3
5 years,2005,40.7,Hispanic Men,40.7,2005,3
5 years,2006,41.4,Hispanic Men,41.4,2006,3
5 years,2007,42.2,Hispanic Men,42.2,2007,3
5 years,2008,42.3,Hispanic Men,42.3,2008,3
5 years,2009,42.8,Hispanic Men,42.8,2009,3
5 years,2010,44.0,Hispanic Men,44,2010,3
5 years,2011,44.7,Hispanic Men,44.7,2011,3
5 years,2012,46.0,Hispanic Men,46,2012,3
5 years,2013,47.6,Hispanic Men,47.6,2013,3
5 years,1996,---,Asian Men,NA,1996,4
5 years,2000,---,Asian Men,NA,2000,4
5 years,2002,---,Asian Men,NA,2002,4
5 years,2003,---,Asian Men,NA,2003,4
5 years,2004,---,Asian Men,NA,2004,4
5 years,2005,59.7,Asian Men,59.7,2005,4
5 years,2006,61.5,Asian Men,61.5,2006,4
5 years,2007,60.7,Asian Men,60.7,2007,4
5 years,2008,61.8,Asian Men,61.8,2008,4
5 years,2009,63.9,Asian Men,63.9,2009,4
5 years,2010,64.1,Asian Men,64.1,2010,4
5 years,2011,64.8,Asian Men,64.8,2011,4
5 years,2012,66.7,Asian Men,66.7,2012,4
5 years,2013,67.5,Asian Men,67.5,2013,4
5 years,1996,56.8,White Women,56.8,1996,5
5 years,2000,58.8,White Women,58.8,2000,5
5 years,2002,59.0,White Women,59,2002,5
5 years,2003,59.7,White Women,59.7,2003,5
5 years,2004,60.7,White Women,60.7,2004,5
5 years,2005,60.8,White Women,60.8,2005,5
5 years,2006,61.7,White Women,61.7,2006,5
5 years,2007,62.2,White Women,62.2,2007,5
5 years,2008,62.8,White Women,62.8,2008,5
5 years,2009,63.1,White Women,63.1,2009,5
5 years,2010,63.7,White Women,63.7,2010,5
5 years,2011,64.2,White Women,64.2,2011,5
5 years,2012,66.1,White Women,66.1,2012,5
5 years,2013,67.0,White Women,67,2013,5
5 years,1996,37.5,Black Women,37.5,1996,6
5 years,2000,40.1,Black Women,40.1,2000,6
5 years,2002,38.6,Black Women,38.6,2002,6
5 years,2003,38.0,Black Women,38,2003,6
5 years,2004,38.3,Black Women,38.3,2004,6
5 years,2005,37.8,Black Women,37.8,2005,6
5 years,2006,38.4,Black Women,38.4,2006,6
5 years,2007,39.3,Black Women,39.3,2007,6
5 years,2008,39.6,Black Women,39.6,2008,6
5 years,2009,37.9,Black Women,37.9,2009,6
5 years,2010,38.7,Black Women,38.7,2010,6
5 years,2011,39.5,Black Women,39.5,2011,6
5 years,2012,42.5,Black Women,42.5,2012,6
5 years,2013,45.0,Black Women,45,2013,6
5 years,1996,42.4,Hispanic Women,42.4,1996,7
5 years,2000,45.9,Hispanic Women,45.9,2000,7
5 years,2002,46.4,Hispanic Women,46.4,2002,7
5 years,2003,46.2,Hispanic Women,46.2,2003,7
5 years,2004,47.6,Hispanic Women,47.6,2004,7
5 years,2005,47.5,Hispanic Women,47.5,2005,7
5 years,2006,49.0,Hispanic Women,49,2006,7
5 years,2007,49.6,Hispanic Women,49.6,2007,7
5 years,2008,50.8,Hispanic Women,50.8,2008,7
5 years,2009,51.3,Hispanic Women,51.3,2009,7
5 years,2010,52.4,Hispanic Women,52.4,2010,7
5 years,2011,52.9,Hispanic Women,52.9,2011,7
5 years,2012,55.4,Hispanic Women,55.4,2012,7
5 years,2013,56.5,Hispanic Women,56.5,2013,7
5 years,1996,---,Asian Women,NA,1996,8
5 years,2000,---,Asian Women,NA,2000,8
5 years,2002,---,Asian Women,NA,2002,8
5 years,2003,---,Asian Women,NA,2003,8
5 years,2004,---,Asian Women,NA,2004,8
5 years,2005,66.9,Asian Women,66.9,2005,8
5 years,2006,68.0,Asian Women,68,2006,8
5 years,2007,68.4,Asian Women,68.4,2007,8
5 years,2008,69.2,Asian Women,69.2,2008,8
5 years,2009,71.2,Asian Women,71.2,2009,8
5 years,2010,71.6,Asian Women,71.6,2010,8
5 years,2011,72.6,Asian Women,72.6,2011,8
5 years,2012,74.0,Asian Women,74,2012,8
5 years,2013,75.1,Asian Women,75.1,2013,8
6 years,1996,54.8,White Men,54.8,1996,1
6 years,2000,57.1,White Men,57.1,2000,1
6 years,2002,57.5,White Men,57.5,2002,1
6 years,2003,58.4,White Men,58.4,2003,1
6 years,2004,58.9,White Men,58.9,2004,1
6 years,2005,59.4,White Men,59.4,2005,1
6 years,2006,59.8,White Men,59.8,2006,1
6 years,2007,60.0,White Men,60,2007,1
6 years,2008,60.1,White Men,60.1,2008,1
