"","state","year","num_applicants","admission_rate","yield_rate","num_acceptances","num_enrolled","enrollment_rate"
"1","Alabama",2014,129941,63.6,34.2,82642.476,28263.726792,21.7512
"2","Alabama",2015,147462,62,32.9,91426.44,30079.29876,20.398
"3","Alabama",2016,154104,61.2,32,94311.648,30179.72736,19.584
"4","Alabama",2017,159798,65.8,28.8,105147.084,30282.360192,18.9504
"5","Alabama",2018,171863,68.2,24.8,117210.566,29068.220368,16.9136
"6","Alabama",2019,169191,72.4,23.8,122494.284,29153.639592,17.2312
"7","Alabama",2020,160636,78.3,22.4,125777.988,28174.269312,17.5392
"8","Alaska",2014,328,42.1,13.8,138.088,19.056144,5.8098
"9","Alaska",2015,6486,66.3,67.8,4300.218,2915.547804,44.9514
"10","Alaska",2016,6041,76.1,59.2,4597.201,2721.542992,45.0512
"11","Alaska",2017,6246,80.6,57.7,5034.276,2904.777252,46.5062
"12","Alaska",2018,6346,78.6,52.5,4987.956,2618.6769,41.265
"13","Alaska",2019,5901,79.8,48.1,4708.998,2265.028038,38.3838
"14","Alaska",2020,5358,74.2,47.9,3975.636,1904.329644,35.5418
"15","Arizona",2014,130616,74.3,29.1,97047.688,28240.877208,21.6213
"16","Arizona",2015,146940,68.6,29.9,100800.84,30139.45116,20.5114
"17","Arizona",2016,153588,73,26.7,112119.24,29935.83708,19.491
"18","Arizona",2017,152836,77.3,25.7,118142.228,30362.552596,19.8661
"19","Arizona",2018,159838,80.2,25.7,128190.076,32944.849532,20.6114
"20","Arizona",2019,179063,81.5,25.2,145936.345,36775.95894,20.538
"21","Arizona",2020,197054,83.1,22.7,163751.874,37171.675398,18.8637
"22","Arkansas",2014,60950,68.7,42.7,41872.65,17879.62155,29.3349
"23","Arkansas",2015,63212,68.4,42.2,43237.008,18246.017376,28.8648
"24","Arkansas",2016,64933,66.9,38.9,43440.177,16898.228853,26.0241
"25","Arkansas",2017,61964,71.3,37.1,44180.332,16390.903172,26.4523
"26","Arkansas",2018,61991,74.3,35.7,46059.313,16443.174741,26.5251
"27","Arkansas",2019,64514,72.7,33.5,46901.678,15712.06213,24.3545
"28","Arkansas",2020,69872,73.5,29.4,51355.92,15098.64048,21.609
"29","California",2014,1384780,43.4,23.2,600994.52,139430.72864,10.0688
"30","California",2015,1449445,41.7,23,604418.565,139016.26995,9.591
"31","California",2016,1513749,43.3,21.7,655453.317,142233.369789,9.3961
"32","California",2017,1562225,42.5,21.8,663945.625,144740.14625,9.265
"33","California",2018,1703357,40.2,21.5,684749.514,147221.14551,8.643
"34","California",2019,1715941,42.6,19.6,730990.866,143274.209736,8.3496
"35","California",2020,1629116,48.2,17.4,785233.912,136630.700688,8.3868
"36","Colorado",2014,140533,69.4,28.3,97529.902,27600.962266,19.6402
"37","Colorado",2015,152854,69,26.5,105469.26,27949.3539,18.285
"38","Colorado",2016,175401,66.3,24.8,116290.863,28840.134024,16.4424
"39","Colorado",2017,180767,68.9,23.6,124548.463,29393.437268,16.2604
"40","Colorado",2018,184971,67.8,24.1,125410.338,30223.891458,16.3398
