"","state","public_doctor_prof","public_doctor_assoc","public_doctor_assist","public_doctor_all","public_masters_prof","public_masters_assoc","public_masters_assist","public_masters_all","other_4yr_all","2yr_all"
"1","Alabama","$148,654","$101,761","$84,199","$99,488","$90,658","$74,366","$65,302","$70,748","$79,223","$58,305"
"2","Alaska","$107,011","$87,589","$70,223","$79,897","$102,191","$86,511","$68,876","$78,617","$91,285","n/a"
"3","Arizona","$142,664","$101,691","$83,917","$97,480","$148,008","$97,006","$77,812","$85,231","$59,877","$73,134"
"4","Arkansas","$118,095","$83,833","$72,002","$80,803","$81,383","$68,251","$57,743","$62,112","$80,677","$49,222"
"5","California","$196,438","$127,430","$106,599","$145,404","$115,675","$100,780","$86,977","$96,030","$116,631","$93,970"
"6","Colorado","$138,149","$102,225","$90,608","$100,440","$92,163","$73,511","$64,437","$70,067","$76,191","$58,659"
"7","Connecticut","$160,153","$108,742","$90,146","$118,606","$108,675","$86,777","$73,289","$92,413","n/a","$82,261"
"8","Delaware","$156,496","$107,952","$93,512","$115,512","n/a","n/a","n/a","n/a","$76,939","n/a"
"9","District of Columbia","n/a","n/a","n/a","n/a","$107,683","$76,113","$64,810","$78,219","$141,237","n/a"
"10","Florida","$146,465","$101,356","$88,724","$102,312","$116,557","$88,397","$76,843","$82,593","$63,527","$62,080"
"11","Georgia","$132,867","$93,322","$83,040","$94,471","$84,288","$69,229","$62,601","$65,637","$61,418","$55,357"
"12","Hawaii","$142,833","$105,631","$93,115","$112,022","n/a","n/a","n/a","n/a","$87,892","$82,639"
"13","Idaho","$103,924","$84,881","$74,635","$79,688","n/a","n/a","n/a","n/a","$60,396","$57,611"
"14","Illinois","$133,925","$97,479","$92,664","$99,357","$100,250","$79,896","$71,611","$77,582","n/a","$81,374"
"15","Indiana","$139,159","$98,355","$88,306","$99,611","$93,145","$75,392","$68,701","$71,111","$58,625","$52,463"
"16","Iowa","$144,590","$98,402","$88,321","$107,644","$91,423","$75,706","$68,152","$74,579","n/a","$67,456"
"17","Kansas","$119,489","$87,358","$76,511","$89,157","$82,207","$71,631","$62,261","$66,354","$74,578","$59,910"
"18","Kentucky","$123,509","$90,110","$78,852","$90,653","$80,687","$67,180","$60,595","$64,221","$63,771","$54,684"
"19","Louisiana","$116,783","$83,356","$77,737","$82,941","$79,915","$67,373","$60,172","$60,354","$87,010","$48,980"
"20","Maine","$116,500","$89,894","$74,610","$90,014","$101,555","$85,701","$70,117","$79,874","$52,941","$59,836"
"21","Maryland","$159,711","$104,767","$90,518","$108,795","$105,269","$85,304","$76,992","$81,838","$124,148","$78,836"
"22","Massachusetts","$154,156","$113,463","$94,734","$110,480","$104,469","$85,005","$71,350","$87,478","$90,696","$66,891"
"23","Michigan","$149,007","$101,947","$88,730","$104,772","$107,197","$89,559","$77,909","$84,288","$81,079","$82,626"
"24","Minnesota","$154,687","$110,251","$98,293","$117,916","$99,535","$83,265","$70,205","$83,625","$69,517","$71,908"
"25","Mississippi","$118,832","$87,194","$74,822","$83,314","$74,619","$64,425","$56,065","$59,201","n/a","$53,342"
